station_abbr;reference_timestamp;tre200s0;tre005s0;tresurs0;xchills0;ure200s0;tde200s0;pva200s0;prestas0;pp0qnhs0;pp0qffs0;ppz850s0;ppz700s0;fkl010z1;fve010z0;fkl010z0;dkl010z0;wcc006s0;fu3010z0;fkl010z3;fu3010z1;fu3010z3;rre150z0;htoauts0;gre000z0;ods000z0;oli000z0;olo000z0;osr000z0;sre000z0
SMA;01.01.2025 00:00;-2.8;-2.7;-2.7;-2.8;99.1;-2.9;4.9;963.1;1029.1;1032.7;;;1.1;0.4;0.5;303;;1.8;1;4;3.6;0;0;0;;253;;;0
SMA;01.01.2025 00:10;-2.9;-3.2;-3.2;-2.9;99.1;-3;4.9;963.1;1029.1;1032.7;;;0.7;0.1;0.2;3;;0.7;0.7;2.5;2.5;0;0;0;;236;;;0
SMA;01.01.2025 00:20;-3;-3.8;-3.9;-3;97.4;-3.4;4.8;963.1;1029.1;1032.8;;;0.9;0.1;0.3;325;;1.1;0.8;3.2;2.9;0;0;0;;233;;;0
SMA;01.01.2025 00:30;-2.8;-4.3;-4.5;-2.8;96;-3.3;4.8;963;1029;1032.6;;;1;0.2;0.2;281;;0.7;0.9;3.6;3.2;0;0;0;;234;;;0
SMA;01.01.2025 00:40;-3;-4.4;-4.6;-3;95.3;-3.6;4.7;963;1029;1032.7;;;1.3;0.2;0.3;49;;1.1;1.3;4.7;4.7;0;0;0;;233;;;0
SMA;01.01.2025 00:50;-2.3;-4.6;-4.8;-2.3;92.3;-3.4;4.8;962.9;1028.9;1032.4;;;1.6;0.2;0.5;310;;1.8;1.5;5.8;5.4;0;0;0;;235;;;0
SMA;01.01.2025 01:00;-3;-4.3;-4.5;-3;96.6;-3.5;4.7;963;1029;1032.7;;;1.6;0.7;0.8;252;;2.9;1.5;5.8;5.4;0;0;0;;240;;;0
SMA;01.01.2025 01:10;-3;-3.6;-3.7;-3;100;-3;4.9;963.1;1029.1;1032.8;;;1.6;0.6;0.6;196;;2.2;1.5;5.8;5.4;0;0;0;;285;;;0
SMA;01.01.2025 01:20;-2.8;-2.8;-2.8;-2.8;100;-2.8;5;962.9;1028.9;1032.5;;;1.4;0.8;0.8;153;;2.9;1.4;5;5;0;0;0;;294;;;0
SMA;01.01.2025 01:30;-2.5;-2.5;-2.5;-2.5;100;-2.5;5.1;963;1029;1032.5;;;1.4;0.1;0.6;307;;2.2;1.3;5;4.7;0;0;0;;285;;;0
SMA;01.01.2025 01:40;-2.6;-2.6;-2.5;-2.6;100;-2.6;5;963.3;1029.3;1032.9;;;1.9;0.4;0.6;255;;2.2;1.8;6.8;6.5;0;0;0;;266;;;0
SMA;01.01.2025 01:50;-2.8;-2.9;-2.9;-2.8;94.6;-3.5;4.7;963.2;1029.2;1032.8;;;1.6;0.7;0.8;57;;2.9;1.5;5.8;5.4;0;0;0;;244;;;0
SMA;01.01.2025 02:00;-3.2;-3.9;-4;-3.2;94.1;-4;4.5;963.3;1029.3;1033;;;1.5;0.5;0.5;85;;1.8;1.4;5.4;5;0;0;0;;230;;;0
SMA;01.01.2025 02:10;-3.1;-4.2;-4.3;-3.1;94;-3.9;4.6;963.2;1029.2;1032.9;;;1.2;0.4;0.5;143;;1.8;1.2;4.3;4.3;0;0;0;;258;;;0
SMA;01.01.2025 02:20;-2.9;-3.7;-3.7;-2.9;98.7;-3.1;4.9;963.1;1029.1;1032.7;;;0.9;0.2;0.4;201;;1.4;0.9;3.2;3.2;0;0;0;;259;;;0
SMA;01.01.2025 02:30;-3.3;-3.3;-3.4;-3.3;100;-3.3;4.8;963.1;1029.1;1032.9;;;1.6;0.5;0.6;167;;2.2;1.5;5.8;5.4;0;0;0;;266;;;0
SMA;01.01.2025 02:40;-3.1;-3.3;-3.3;-3.1;100;-3.1;4.9;962.9;1028.9;1032.6;;;2.7;1;1.1;172;;4;2.6;9.7;9.4;0;0;0;;273;;;0
SMA;01.01.2025 02:50;-2.8;-2.7;-2.7;-2.8;100;-2.8;5;962.9;1028.9;1032.5;;;1.7;0.8;0.9;160;;3.2;1.7;6.1;6.1;0;0;0;;299;;;0
SMA;01.01.2025 03:00;-2.7;-2.4;-2.4;-2.7;100;-2.7;5;962.8;1028.8;1032.4;;;1.9;1;1;171;;3.6;1.8;6.8;6.5;0;0;0;;299;;;0
SMA;01.01.2025 03:10;-2.7;-2.2;-2.1;-2.7;100;-2.7;5;962.8;1028.8;1032.4;;;1.5;0.6;0.6;161;;2.2;1.3;5.4;4.7;0;0;0;;301;;;0
SMA;01.01.2025 03:20;-2.5;-2.1;-2.1;-2.5;100;-2.5;5.1;962.9;1028.9;1032.4;;;1.7;0.8;0.8;176;;2.9;1.6;6.1;5.8;0;0;0;;301;;;0
SMA;01.01.2025 03:30;-2.7;-2.1;-2;-2.7;100;-2.7;5;963;1029;1032.6;;;1.3;0.3;0.4;182;;1.4;1.3;4.7;4.7;0;0;0;;302;;;0
SMA;01.01.2025 03:40;-2.5;-2;-2;-2.5;100;-2.5;5.1;962.9;1028.9;1032.4;;;0.9;0.3;0.3;192;;1.1;0.8;3.2;2.9;0;0;0;;302;;;0
