time,temp2minst,rain10minsum,globalstrahlung10minavg,relhum2minst,wdir10minavg,vmag10minavg,qffinst
01/04/2024 00:00,11.2,0,0,70.5,44,1.889,992.9
01/04/2024 00:10,11.4,0,0,70.6,34,3.111,992.3
01/04/2024 00:20,11.2,0,0,70.9,54,3.111,992.1
01/04/2024 00:30,11.5,0,0,68.4,45,3.806,991.7
01/04/2024 00:40,11.4,0,0,66.3,38,3.806,991.8
01/04/2024 00:50,11.3,0,0,64.5,50,3.806,992
01/04/2024 01:00,11.3,0,0,65.3,60,3.5,991.6
01/04/2024 01:10,11.2,0,0,63.2,74,2.694,991.4
01/04/2024 01:20,11.4,0,0,58.6,75,2.889,991.4
01/04/2024 01:30,10.9,0,0,68,157,1.306,991.8
01/04/2024 01:40,10.6,0,0,69.3,62,1.694,991.3
01/04/2024 01:50,11.1,0,0,60.4,59,2.806,991
01/04/2024 02:00,10.9,0,0,64.3,52,2.694,991.1
01/04/2024 02:10,10.8,0,0,64.4,68,1.389,991.1
01/04/2024 02:20,10.6,0,0,67.8,79,1.5,991
01/04/2024 02:30,10.4,0,0,71.6,30,1.111,991.3
01/04/2024 02:40,10.5,0,0,71.8,38,1.111,991.3
01/04/2024 02:50,10.5,0,0,71.3,346,0.306,991.5
01/04/2024 03:00,10.7,0,0,72.8,303,1.694,991.8
01/04/2024 03:10,10.3,0,0,75.1,317,0.806,992
01/04/2024 03:20,10.3,0,0,77.5,277,1.5,992.2
01/04/2024 03:30,9.9,0,0,81.9,289,3.111,992.7
01/04/2024 03:40,9.9,0,0,82,279,2.611,993.1
01/04/2024 03:50,10.2,0,0,80.9,251,3.611,993.5
01/04/2024 04:00,10.3,0,0,80.7,258,6.306,993.8
01/04/2024 04:10,10.2,0,0,81.9,256,5.111,994.3
01/04/2024 04:20,10,0,0,84.7,243,6.5,994.6
01/04/2024 04:30,9.2,0.3,0,88.7,251,8.306,995.4
01/04/2024 04:40,8.6,0.4,0,86.5,262,9.389,996.2
01/04/2024 04:50,8.2,0.7,0,90.7,256,7.806,996.6
01/04/2024 05:00,8.1,0.6,0,89.5,249,6.611,996.8
01/04/2024 05:10,7.9,1.3,0,87.4,240,7,997.2
01/04/2024 05:20,7.7,1.4,0,88.9,239,7,997.3
01/04/2024 05:30,7.6,0.9,1,89.9,225,6,997.6
01/04/2024 05:40,7.7,0.6,2,87.6,225,7.111,998
01/04/2024 05:50,7.6,0.8,2,88.2,224,6.5,998.1
01/04/2024 06:00,7.7,0.2,5,85,229,7.889,997.9
01/04/2024 06:10,8.2,0,7,77.9,229,7.611,997.5
01/04/2024 06:20,8.2,0,7,78.3,244,7,998
01/04/2024 06:30,8.4,0,9,74.8,238,6,998.3
01/04/2024 06:40,7.8,0,9,84.9,247,5,999.2
01/04/2024 06:50,8.3,0,8,76.8,245,4.389,999.6
01/04/2024 07:00,8.3,0,9,76.7,258,6.111,999.9
01/04/2024 07:10,8.1,0,14,80.1,245,4.694,1000.1
01/04/2024 07:20,7.9,0,17,81.9,251,4.306,1000.3
01/04/2024 07:30,8,0,25,80.4,245,4.5,1000.6
01/04/2024 07:40,7.9,0,,78.7,,,1000.7
01/04/2024 07:50,7.8,0,41,78.7,246,6.5,1000.8
01/04/2024 08:00,7.9,0,47,75.8,248,6.389,1001
01/04/2024 08:10,8.1,0,66,74.7,250,6.806,1001
01/04/2024 08:20,8.1,0,63,72.5,237,6.889,1001.1
01/04/2024 08:30,8.2,0,69,72.5,233,6.5,1001.5
01/04/2024 08:40,8.1,0,63,73,239,6.694,1001.8
01/04/2024 08:50,8.3,0,51,70.4,248,5.694,1002.1
01/04/2024 09:00,8.3,0,94,68.3,241,6.389,1002.3
01/04/2024 09:10,8.3,0,83,69.8,244,5.889,1002.3
